tanggal,waktu,id,produk
06/01/2023,09:11:00 AM,1,Gula Pasir 250gr
06/01/2023,09:11:00 AM,1,Gula Pasir 250gr
06/01/2023,09:33:00 AM,2,Wincheez
06/01/2023,09:33:00 AM,2,Selai Coklat Biasa 250gr
06/01/2023,09:33:00 AM,2,Diamond Coklat Blok
06/01/2023,12:03:00 PM,3,Sterofoam Bubur
06/01/2023,12:03:00 PM,3,Kresek Tomat 24
06/01/2023,12:03:00 PM,3,Forvita 500gr
06/01/2023,02:14:00 PM,4,Wayang 10x15x05
06/01/2023,07:14:00 PM,5,Sedotan Pop Ice
06/01/2023,07:14:00 PM,5,Cup 12 Oz
06/01/2023,07:14:00 PM,5,Tutup Datar Buram
06/01/2023,07:15:00 PM,6,Sterofoam Mangkok Besar
06/01/2023,07:15:00 PM,6,Sterofoam Seblak
06/01/2023,07:15:00 PM,6,Sendok Bebek
06/02/2023 07:20:00,07:20:00 AM,7,Plastik Tahan Panas 12x25
06/02/2023 07:20:00,07:20:00 AM,7,Plastik Tahan Panas 15x30
06/02/2023 07:20:00,07:20:00 AM,7,Kresek Tomat 15
06/02/2023 08:31:00,08:31:00 AM,8,Sterofoam Bubur
06/02/2023 09:30:00,09:30:00 AM,9,Plastik Klip 12x20
06/02/2023 09:30:00,09:30:00 AM,9,Plastik Klip 5x8
06/02/2023 10:20:00,10:20:00 AM,10,Sterofoam Seblak
06/02/2023 10:20:00,10:20:00 AM,10,Sendok Bebek
06/02/2023 10:35:00,10:35:00 AM,11,Tusuk Sate Panjang
06/02/2023 10:36:00,10:36:00 AM,12,Wayang 8x15x05
06/02/2023 11:01:00,11:01:00 AM,13,Gula Merah 250gr
06/02/2023 11:27:00,11:27:00 AM,14,Buldozer 15 Hitam
06/02/2023 11:27:00,11:27:00 AM,14,Kresek Motto Uk 40 Hitam
06/02/2023 13:28:00,01:28:00 PM,15,Segitiga Biru Kiloan 1kg
06/02/2023 13:28:00,01:28:00 PM,15,Segitiga Biru Kiloan 1kg
06/02/2023 13:28:00,01:28:00 PM,15,Kresek Tomat 15
06/02/2023 14:26:00,02:26:00 PM,16,Glaze Tiramisu
06/02/2023 14:48:00,02:48:00 PM,17,Tepung Ketan Rosebrand
06/02/2023 14:48:00,02:48:00 PM,17,Tepung Ketan Rosebrand
06/02/2023 14:48:00,02:48:00 PM,17,Tepung Ketan Rosebrand
06/02/2023 14:48:00,02:48:00 PM,17,Tepung Ketan Rosebrand
06/02/2023 14:48:00,02:48:00 PM,17,Tepung Ketan Hitam
06/02/2023 14:48:00,02:48:00 PM,17,Kresek Tomat 15
06/02/2023 14:48:00,02:48:00 PM,17,Sun Kara
06/02/2023 14:48:00,02:48:00 PM,17,Sun Kara
06/02/2023 15:46:00,03:46:00 PM,18,Kresek Logo Uk 28
06/02/2023 18:59:00,06:59:00 PM,19,Wayang 11x25x05
06/02/2023 19:03:00,07:03:00 PM,20,Cup 14 Oz
06/03/2023 07:45:00,07:45:00 AM,21,Cakra Kembar
06/03/2023 07:45:00,07:45:00 AM,21,Soda Kue
06/03/2023 07:46:00,07:46:00 AM,22,Plastik Tomat 10x30
06/03/2023 08:42:00,08:42:00 AM,23,Cup 16 Oz
06/03/2023 08:42:00,08:42:00 AM,23,Tepung Roti 250gr
06/03/2023 08:42:00,08:42:00 AM,23,Dairy Champ
06/03/2023 08:42:00,08:42:00 AM,23,Selai Coklat Biasa 250gr
06/03/2023 08:42:00,08:42:00 AM,23,Sendok Bebek
06/03/2023 08:42:00,08:42:00 AM,23,Roman
06/03/2023 08:42:00,08:42:00 AM,23,Roman
06/03/2023 09:07:00,09:07:00 AM,24,Thinwall 300ml
06/03/2023 09:07:00,09:07:00 AM,24,Swallow Plain
06/03/2023 10:20:00,10:20:00 AM,25,Cup Bryan
06/03/2023 10:20:00,10:20:00 AM,25,Sterofoam Seblak
06/03/2023 10:20:00,10:20:00 AM,25,Diamond Coklat Blok
06/03/2023 10:20:00,10:20:00 AM,25,Wayang 14x25x05
06/03/2023 10:59:00,10:59:00 AM,26,Wincheez
06/03/2023 10:59:00,10:59:00 AM,26,Pewarna Kuning Muda
06/03/2023 11:00:00,11:00:00 AM,27,Cup 14 Oz
06/03/2023 13:02:00,01:02:00 PM,28,Mika Bolu Kotak Uk 22
06/03/2023 13:02:00,01:02:00 PM,28,Mika Bolu Kotak Uk 22
06/03/2023 13:02:00,01:02:00 PM,28,Mika Bolu Kotak Uk 22
06/03/2023 13:02:00,01:02:00 PM,28,Mika Bolu Kotak Uk 22
06/03/2023 13:26:00,01:26:00 PM,29,Selai Coklat Biasa 250gr
06/03/2023 18:20:00,06:20:00 PM,30,Plastik Tomat 10x30
06/03/2023 18:20:00,06:20:00 PM,30,Wayang 11x25x05
06/03/2023 18:34:00,06:34:00 PM,31,Wayang 11x25x05
06/03/2023 18:34:00,06:34:00 PM,31,Bader 10x20
06/03/2023 18:34:00,06:34:00 PM,31,Bader 10x20
06/03/2023 18:34:00,06:34:00 PM,31,Bader 10x20
06/04/2023 06:38:00,06:38:00 AM,32,Kresek Tomat 24
06/04/2023 06:42:00,06:42:00 AM,33,Wayang 12x25x05
06/04/2023 06:42:00,06:42:00 AM,33,Wayang 12x25x05
06/04/2023 09:59:00,09:59:00 AM,33,Wayang 14x25x05
06/04/2023 09:59:00,09:59:00 AM,34,Wayang 10x15x05
06/04/2023 09:59:00,09:59:00 AM,34,Wayang 10x15x05
06/04/2023 09:59:00,09:59:00 AM,34,Wayang 12x15x05
06/04/2023 09:59:00,09:59:00 AM,34,Tusuk Sate Pendek
06/04/2023 09:59:00,09:59:00 AM,34,Fermipan Sachet
06/04/2023 11:24:00,11:24:00 AM,35,Garpu Kue
06/04/2023 11:24:00,11:24:00 AM,35,Isi Hekter
06/04/2023 11:24:00,11:24:00 AM,35,Sterofoam Mangkok Besar
06/04/2023 11:24:00,11:24:00 AM,35,Sterofoam Seblak
06/04/2023 12:03:00,12:03:00 PM,36,Swallow Plain
06/04/2023 14:48:00,02:48:00 PM,37,Mika 3x
06/04/2023 14:53:00,02:53:00 PM,38,Cup 750ml
06/04/2023 15:28:00,03:28:00 PM,39,Plastik Tahan Panas 15x30
06/05/2023 07:13:00,07:13:00 AM,40,Wayang 11x25x05
06/05/2023 07:50:00,07:50:00 AM,41,Kresek Tomat 24
06/05/2023 07:50:00,07:50:00 AM,41,Wincheez
06/05/2023 07:55:00,07:55:00 AM,42,Plastik Klip 5x8
06/05/2023 12:15:00,12:15:00 PM,43,Wayang 10x15x05
06/05/2023 12:15:00,12:15:00 PM,43,Wayang 17x30x05
06/05/2023 12:20:00,12:20:00 PM,44,Wayang 14x25x05
06/05/2023 12:20:00,12:20:00 PM,44,Wayang 20x35x05
06/05/2023 15:22:00,03:22:00 PM,45,Thinwall 350ml
06/05/2023 15:22:00,03:22:00 PM,45,Sendok Makan Bening
